개최일,부스 위치,자리수,대표작품,계정아이디,계정명,팔로워수,최상단트윗_알티,최상단트윗_마음,최상단트윗_노출수,최상단트윗_내용,multiple_ids
Day1,A23,2sp,데못죽,rninbblong_,雅月,80,,2024 배세진 생일 카페 이벤트 전프레 엽서 일러스트를 공개합니다.,188,바쁜 바람에 많이들 봐주신 후가 돼서야 봐버렸네요..특전 엽서 협력했습니다!! 카페에서 포스터로도 디피될 예정이라고 해요!!예쁘게 봐주셔요...2024 배세진 생일 카페@happybyoday·2023년 12월 15일 2024 𝐵𝐴𝐸𝑆𝐸𝐽𝐼𝑁 𝐷𝐴𝑌 : 𝐺𝐼𝐹𝑇 𝑃𝑅𝐸𝑉𝐼𝐸𝑊  ,
Day1,A2a,1sp,데뷔 못 하면 죽는 병 걸림,seomunbada_DMJ,서문바다,101,25,13,7.2천,아이소 문큰 쁘띠존에 나올 문큰 회지 옥탑방 밴드 러브 (가제) 수요조사 받습니다!마감은 못했는데 프매 마감일은 다가와서 급하게 하는 수요조사입니다a5 / 80p 이상 (예상)https://posty.pe/d8oneqhttps://witchform.com/demand_form.php?idx=89798…다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경,
Day1,A2b,1sp,데못죽,cookylove19, 피치 님이 재게시함,28,1만,5.1천,84만,1월 12일솔직히 지금 상태에서 한국인들 숨돌리게 해주면 누가 괴롭히는지 생각할 시간 남고 바로 혁명함실시간고통정보@Realtimepainews·1월 12일대한민국 9to6회사 전부 네시퇴근시켜도 한국사회 문제없이 돌아갈거임오히려 더 잘돌아갈걸이거 솔직히 그냥 지배성에서 기인하는 괴롭힘임돈주고 지하철에 용병은 고용하되 엘베는 죽어도 안만들어주는거같은거임,
Day1,A3a,1sp,데뷔 못 하면 죽는 병 걸림,,,,,,,,
Day1,A3b,1sp,데뷔 못하면 죽는 병 걸림,o17e_,원,"2,472",524,150,2.5만,"#RT 추첨 한 분께 전체 굿즈를 드립니다통판은 현장수령 참여 정도에 따라 재고 변동이 있을 수 있어, 10분 늦게 오픈됩니다.각 폼별 선착순 3분께 미공개 특전이 지급됩니다디페 http://witchform.com/deposit_form.php?idx=547437…아이소 http://witchform.com/deposit_form.php?idx=547440…통판 http://witchform.com/deposit_form.php?idx=547443…더 보기",
Day1,A4,2sp,데뷔 못 하면 죽는 병 걸림,zamkkan_dod,잠깐 (디페A4 / 아이소I8) 님이 재게시함,471,848,2.4천,3.5만,1월 11일,
Day1,A5,2sp,데뷔 못하면 죽는 병 걸림,bio12031113,,0,0,0,0,,
Day1,A7,4sp,데뷔 못하면 죽는 병 걸림,rayca01,"레이카디페A7, 아이소L1","7,961",285,83,1.7만,"RT1월 디페(A7), 아이소(L1) 참가합니다(with.마키시@makisi17,시에@sye51244kk)2차 예약(자세한 내용은 폼 참고)→https://witchform.com/deposit_form.php?idx=552160…전체 인포→https://posty.pe/mrhjbsRT추첨 한분 원하시는 엽서or포카 1세트 드려요#데못죽 #화산귀환 #광마회귀 #디페 #아이소",
Day1,A9,2sp,데뷔 못하면 죽는 병 걸림,Vino_dmj,(디페A9/아이소K5)비노,330,MAIN TWEET,5,11,,
Day1,B10,2sp,,,,,,,,,
Day1,B11,2sp,,,,,,,,,
Day1,B13,2sp,데뷔 못하면 죽는 병 걸림,,,,,,,,
Day1,B14,2sp,,,,,,,,,
Day1,B15a,1sp,,,,,,,,,
Day1,B15b,1sp,,,,,,,,,
Day1,B16,2sp,,TIRA_o2,티라 통판중,234,87,27,5.6천,도쿄리벤저스 비공식 굿즈 통판폼 기간 : 2023/12/26 18:00 ~ 2023/12/30 23:59폼 내 공지 확인  필독 부탁 드립니다!#RT 추첨 1분께 원하시는 굿즈 2종을 드립니다!문의는 디엠이나 푸슝으로 부탁 드립니다!더 보기,
Day1,B17,2sp,,,,,,,,,
Day1,B18,2sp,코난,U_flavourful_O,,0,0,0,0,,
Day1,B1a,1sp,마블,Y_GoodsY,(디페(토)/B1a 현장수령+통판 받는 중),"2,428",12,6,5.1천,[RT] 안녕하세요! 10월 디페 참가합니다!디페 【W6b】 최종 인포무료배포 슬램덩크 스티커슬램덩크/스타트렉/스타워즈/캡틴마블/마블/데어데블/버오프/터미네이터다크페이트/쥬라기월드/알라딘/테넷 등뱃지/전차스/에코백/핀버튼/떡메모지/마테 등 굿즈,
Day1,B1b,1sp,스파이더맨,,,,,,,,
Day1,B2,2sp,배트맨,,,,,,,,
Day1,B20,2sp,,,,,,,,,
Day1,B21,2sp,,RanrindoS2,春,1.2만,1,1,1.4만,https://pushoong.com/ask/6004357894春@RanrindoS2·2023년 2월 24일MAIN https://asked.kr/nkpnineo99http://peing.net/ko/ranrindos2http://pushoong.com/ask/8990052661,
Day1,B22,2sp,,beatplz2,,0,0,0,0,,
Day1,B23,2sp,,juneeunjune,디페스타B23 유월은준,237,15,6,935,연간 앤솔로지 취담 03호가 올라왔습니다! 포타와 함께 투비와 딜리헙! 편한 곳에서 봐주세요! 후원자 이벤트도 진행중이에요[포스타입: https://posty.pe/9nzixi] [투비컨티뉴드: https://tobe.aladin.co.kr/n/138593] [딜리헙: https://dilli.es/prj/0364e9e2349d951…]타래로 참여작품들 썸네일이 이어집니다!,
Day1,B24,2sp,스타워즈 탑건 슬램덩크,yune_0_0,총대유네,19,4,8,3.3천,,
Day1,B3a,1sp,해리포터,Marron_House,디페 토B3a 레트로판타지,296,더 보기,1,112,이번 1월 디페도 이렇게 참여합니다..곧 날짜바꿔 올게요디페 토B3a 레트로판타지@Marron_House·2023년 10월 25일10월 28일 토요일 디페스타부스 i2B 레트로판타지 참여합니다!재제작 되지않는 굿즈 및 탑로더를 만나보세요!*계좌이체 가능!,
Day1,B3b,1sp,오페라의 유령,0_back_129,디페 B3b 영백,275,6,3,1천,[1디페/토]'죽어서도 드림의 맛을 잊지 못할 거다' 부스 선입금 폼입니다!,
Day1,B4,2sp,miu404,extension404,,0,0,0,0,,
Day1,B5,2sp, MIU404,,,,,,,,
Day1,B6a,1sp,MIU404,0520X0708,로론,"1,184",38,24,6.1천,rt=24.01.20(토) 디페스타에 판매될 굿즈 입금폼 및 최종인포 입니다! 자세한 사항은 아래 링크를 참고해 주시기 바랍니다.  24.01.05~24.01.09,
Day1,B6b,1sp,울트라맨 오브,,,,,,,,
Day1,B7,2sp,,CHAYO_sq,CHAYO 님이 재게시함,38,82,1.4천,2.8만,1월 10일wip,
Day1,B8a,1sp,임시,,,,,,,,
Day1,B8b,1sp,.,momomommpp,,0,0,0,0,,
Day1,B9,2sp,,,,,,,,,
Day1,C1,2sp,어두운 바다의 등불이 되어,nok_k,NokZz 님이 재게시함,2,1,33,5,2013년 5월 12일,
Day1,C10,2sp,fkmt,oqwertyui0,디페 C10 / 영주,213,53,15,8.4천,FKMT 유사 / 드림 앤솔로지 '어쩌다 FKMT(Fucking Kimoi Men Truelove)' 선입금을 진행합니다!2024년 1월 20일 제 24회 디.페스타에서 수령하실 수 있습니다.현판분 극소량이며 선입금 수량에 맞춰 제작되니 구매하실 분은 꼭 폼을 작성해 주세요!https://forms.gle/LF6wGoYrUD9Ka3WK7…,
Day1,C11,2sp,인소의법칙,__sherio,흫_C11,114,28,15,2.5천,1디페 c11 부스 판매인법 천단 회지 선입금 폼입니다.현장 수령 가능 하신 분들만 참여 부탁드려요!(선입 기간 1월8일~1월14일 까지)1디페스타 현장수령 선입금 : 포스타입 포스트,
Day1,C13,2sp,주컨곤,,,,,,,,
Day1,C14,2sp,적왕사,,,,,,,,
Day1,C15a,1sp,디지몬,,,,,,,,
Day1,C15b,1sp,페르소나5,roh_Ewoong,디페 C15b집,592,9,12,1.1천,[rt]1디페 C15b [고양이가방에들어가신다] 페르소나5 부스로 참가합니다!신간 샘플 https://posty.pe/svqsp3구간 샘플 https://posty.pe/p9r8v8디페 종료 이후 모든 재고는 통판 예정입니다! 잘부탁드립니다!!,
Day1,C16a,1sp,버튜버(모로스),eunmilhan_,흰둥이의은밀한콧수염,83,4,7,3.8천,@eunmilhan_ 님에게 보내는 답글하........................................ 진짜 이 웃음소리 넘 좋음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,
Day1,C16b,1sp,바이오하자드 ,baemc95,뱀  님이 재게시함,1만,25,67,827,1시간暇なのでクリレオの過去絵を再放送します落書きばっかだけど,
Day1,C17a,1sp,플레이브,No_non_ni,45/사오 1디페(c17a),539,32,28,5.6천,"RT1.20디페 파이널 인포위치: [c17a]현장판매만 진행하며, 모든 굿즈 (특히 키링) 극 소량입니다!무료배포도 있으니 많은 관심 부탁드립니다!장르: 더 보기",
Day1,C17b,1sp,붕괴 스타레일,nerine_cine,디페 C17b :: 네리링,63,선입금 예약하신 분은 오셔서 성함 말씀해주시면 됩니다,4,298, 1월 디페스타C17b 우리 게임 정상영업 합니다,
Day1,C19a,1sp,누카니발,,,,,,,,
Day1,C19b,1sp,NU카니발,,,,,,,,
Day1,C2,2sp,어두운 바다의 등불이 되어,kkomsuri,디페/c2 꼼질꼼질이슬/꼼슬트윙클스타,"1,131",11월 온라인 주문 예정(날짜미정),1,2.6천,트윙클스타 2023 4분기 계획10/7(토) 제2회 마켓더레인 참가(오비츠11),
Day1,C20,2sp,누카니발,girin_qqq,girin,15,2023년 9월 23일,큰일이다 나 얘들 너무 사랑함 <ㅇ>,588,진심 개큰일남 나 얘들 너무너무 사랑함girin@girin_qqq,
Day1,C21,2sp,로드오브히어로즈,sm5927602,지존검둥 / c21,871,2,2,1만,너 이성애 그런거하니,
Day1,C22a,1sp,쿠키런 킹덤,Congbbang,콩빵,"2,139",1,90,175,,
Day1,C22b,1sp,로드 오브 히어로즈(로오히),_linalord_,【디페/C22b】요프충,766,                    ◌,8,6.9만,◌ ﾟﾟ ｡ ･ﾟﾟ｡ ﾟ.       ｡ﾟ 　ﾟ･｡ ｡ﾟﾟ･｡･ﾟﾟ｡            ◌         ｡ﾟ,
Day1,C23,2sp,,,,,,,,,
Day1,C24b,1sp,어두운 바다의 등불이 되어,p_april_,사월,336,1,4,660,"내일 오전~오후 일찍중에 눈스냅 촬영 하실분 계실까용??동작대교+동작대교아래 공원요렇게간단하게 스냅느낌으로 촬영하고싶습니다검은코트나 흰색,  빨간색 포인트도 좋아오!!!밝은분위기 어두운분위기",
Day1,C3a,1sp,진여신전생3,moking999,"@moking(모킹,무킹)/원고중","1,302",1,6,299,새해를 맞이하며 새해 복 많이 받으세요!제가 계정이 두개라 한개에 집중하기위해잘 사용하지 않는@moking9999 <-는 없애고@moking999 <-이것만 사용하려고 합니다!참고바랍니다19금 팬아트는 그대로 둘거라 프로필의 주소를 참고하세요! ,
Day1,C3b,1sp,사이퍼즈,,,,,,,,
Day1,C5,2sp,네가죽어,ru_chi_i,루돌휘(1디페/C5),"3,181",19,15,5.7천,문의 주신 분들이 있어 소우사라 19금 회지 <기분 좋은 재회>의 2차 현장 수령 및 통판 선입금 폼 오픈하였습니다.(~01/14 23:30) 이후 추가로 통판 예정은 없으니 구매 의사 있으신 분들은 기일 안에 참여 부탁드립니다. https://witchform.com/payform/GQQTCMRM6X…루돌휘(1디페/C5)@ru_chi_i·2023년 12월 15일[RT]1월 20일 디페스타에서 판매되는 소우사라 19금 회지 <기분 좋은 재회> 현장 수령 및 통판 선입금 폼을 오픈하였습니다. (12/15 20:00 ~ 12/20 23:30)https://witchform.com/payform/GQQTCMRM6X…더 보기,
Day1,C6,2sp,단간론파,jabducklife,잡 (디페C6),1.3만,86,33,2.8만,"1/20 디페스타 <죽음은달라도 우리는하나> 부스에서 나오는쿠즈페코 책과 아키히카아키 책의 선입금/통판 폼입니다.자세한 인포는 링크를 참고해주세요.현장수령 선입금(심중유심, 종국) : https://witchform.com/deposit_form.php?idx=544323…~1/14 까지통신판매(심중유심) : https://witchform.com/deposit_form.php?idx=544326…~1/28 까지",
Day1,C7,4sp,원신,,,,,,,,
Day1,C8,2sp,원신,sleep_againer,꼽표,34,1,4,4.9천,말 나온 김에 성향표 다시 올리기...라슬 알탐 소 들어간 cp랑 드림 못 봐요...;-;)) ,
Day1,C9,2sp,fkmt,126649J06,โอยา,"2,154",205,165,4만,저기요 우리 이치죠오빠 키 큰데 왜다들 작게그리시죠 진짜너무하시는거아닌가요 저희이치죠오빠가왜작아져야하늘대여 이치죠오빠도남자에요이치죠오빠도남성이라구요아기셍어요? 이치죠오빠키안작습니다.,
Day1,D1,2sp,FGO,selfu_appeal,sg,199,보기,6,3.9천,[Main],
Day1,D10,2sp,흡혈귀는 툭하면 죽는다,onlywonder200,D10 【닭튀김】 님이 재게시함,499,8,23,822,1시간,
Day1,D11,2sp,흡혈귀는 툭하면 죽는다,wow_BlueBox,블박1월디페 D11,426,2,4,1.5만,메인트 정리,
Day1,D12,2sp,헌터x헌터,Love__ppi,D12 ♡ 천사,1.1만,1.1천,515,11만,#rt 1월 디페 선입금 & 통판헌터헌터 아이나나 슬램덩크 죠죠»-♡→몇몇 스티커는 품절시 수량 추가 예정 없습니다상세안내는 링크!추첨 한 분께 원하시는 스티커를 보내드려요~ ˶ᵔ-ᵔ˶12/31 20:00 - 1/7 23:59✩현장수령:  더 보기,
Day1,D14,2sp,죠죠의 기묘한 모험,hamon__o,엉덩덩이박사 님이 재게시함,252,3천,1.3만,37만,1월 1일조금 늦었지만 태그 빌립니다#ジョジョ3部OVA30周年GIF,
Day1,D15,2sp,,,,,,,,,
Day1,D16a,1sp,죠죠의 기묘한 모험,wilk_wink,아챠 지쟈스,"2,413",9,13,1.7천,배우 이의제기하러 왔습니다『ゴールデンカムイ』公式@kamuy_movie·1월 12일【ついにあのキャストが…解禁ッ!!!!!】　⠀ 《アシㇼパの最愛の父》　▌▌￣￣￣￣　　　アチャ：,
Day1,D16b,1sp,나의 히어로 아카데미아,qhsrP_moy,M⁘Ꙭ⁘Y,1.8만,되게 익숙한 펜이라서 서치해봤는데 바로 뜨네요!!!,4,638,"ㅠㅠㅠ 에스유님께서 찾아주셨어요…제 인생툴 입니다… 에스유@asyou_mha·1시간@qhsrP_moy 님에게 보내는 답글탐넘 죄송합니다ㅜㅜ 혹시,, https://magdaproski.artstation.com/store/PvmD/basic-clip-studio-brush-pack…",
Day1,D17,2sp,나의 히어로 아카데미아,hoduMHA,(디페D17) HOD:U,2.3만,79,111,1.1만,"1월 디페스타 인포입니다!!부스위치는 D17 입니다.캇데쿠 신간 한 권, 캇데쿠 키링 한 개와구간 두 권, 이전에 판매했던 토가우라토가 엽서 재고도 가져갑니당.오박사님과 공유하는 부스입니다!! 구매하실 때 유의해주세요!♡통판은 행사 이후에 열립니다. 공지를 기다려주세요~",
Day1,D18,2sp,나의 히어로 아카데미아,mmmmm___p,Momopi 님이 재게시함,26,2천,1.1만,21만,1월 1일明けましておめでとうございます。今年もチームアップミッションをどうぞよろしくお願いします！！デク＆リューキュウ,
Day1,D19,2sp,버튜버 ,,,,,,,,
Day1,D20,2sp,파라독스 라이브,geomcheong,디페D20검청,928,13,9,1.2천,[1디페 D20]내볼까…픽시브 0건 씨피…눙님과 함께하는 부스 인포입니다.선입금 수령은 2시 30분까지 가능하며 현장판매분도 적당히 준비해서 가요.현장구매 시 계좌이체가 어려우니 현금 맞춰서 준비 부탁드립니다! ,
Day1,D21,2sp,우타프리,10x14,Gene,"1,741",2020년 2월 27일,트위터에 가입한 날이 언제인지 기억하시나요? 트위터는 기억한답니다! #MyTwitterAnniversary,9,,
Day1,D22,2sp,"파라라이, 꿈왕국, 마호야쿠",,,,,,,,
Day1,D24,2sp,"Fate 시리즈, 명탐정 코난",eunyu0,은여) 디페D24+아이소D24a / 0120+0121,256,1,2,3,메인 트윗용개인서클 남녀연애자유선언 동인지 발간목록 : http://eunyu.web-bi.net웹 유료공개 및 웹 게시물 포스타입 :남녀연애자유선언 : 포스타입 채널,
Day1,D2a,1sp,fate 시리즈,,,,,,,,
Day1,D2b,1sp,니지산지 JP,ku_urumii,クルミ 님이 재게시함,"4,160",1.1천,8.3천,20만,1시간アイテムを身に付けてみたいのでよかったらください#叶アクセ　にいただけたら使わせていただく可能性があります！,
Day1,D3,2sp,"니지산지, 레볼루션 하트",,,,,,,,
Day1,D5,2sp,니지산지,diakghkrnl,야마랑 D5 / Y9,641,12,2,2.4천,통판 입금기간을 현장수령과 함께 4일에 마감합니다!이후 추가입금 어려우니 구매 희망하시는 분들께서는 서둘러주시면 감사하겠습니다..^__^야마랑 D5 / Y9@diakghkrnl·2023년 12월 28일[#RT=] 1월 21일(일) 아이소 현장수령/통신판매 입금폼12.18 20:00 ~ 01.04(현장수령)                                ~01.23(통신판매)18일 오후 8시 폼 선착순 5분께 선착순 특전을 드립니다!현장수령,
Day1,D6,2sp,아르고나비스,flat_brusj_argn,,0,0,0,0,,
Day1,D7,2sp,나의 히어로 아카데미아,skcm2728800,진,199,5,3,187,안뇽 하세요 열허분젲가 1디페에서 이전에 냈던 회지들을 재판할까하능데혹시 그래도 될ㄹ까요..?넹100%아뇽0%8표·,
Day1,D8,2sp,나의 히어로 아카데미아,XX__BX,마왕 커미션 공구계,"3,097",600,129,3.8만,솜인형 도안 커미션(+솜의상) & 개인제작 대행[RT]목표 금액 달성시 RT한분 추첨 도안+제작대행+제작비 모두 지원해드립니다인형 컨택 공장 제작비 절반 할인 혜택이 11/20일에 끝나게 됩니다!도안 커미션: https://posty.pe/45raen개인제작 대행: https://posty.pe/d79ez2문의:…더 보기,
Day1,D9,2sp,흡혈귀는 툭하면 죽는다,salty_bread_of,소금빵*1/20 디페 D9*,496,˚✧₊⁎성향표⁎₊✧˚,12,3.2천,,
Day1,E1,2sp,마법사의 약속,Magic_holic,(토E1)난초,176,5,33,767,있다가는 요 탐라에 없을 거 같아서~ 새해 복 많이 받으세요 ,
Day1,E10,4sp,파이널 판타지 14,Coumarinnn,디페(토)E10마린 님이 재게시함,"1,914",35,24,2천,"1월 12일하마켄: 에스티니앙의 소망이 좀 어둡잖아요. 그 원흉인 용을 어떻게든 멸망시키겠다든가. 그런데 알피노와 이젤, 플레이어와 함께 스토리를 쫓아가면서 뭐랄까. 나만이 (괴로운 것이) 아니었다, 싸움 속에서는 모두가 고통스러웠다는 걸 알아가는 것이 그에게 있어서도 좋은 일이지 않았을까⋯.",
Day1,E11,2sp,파이널판타지14,pinktokifire,핑크토끼,72,1월 12일,エメアゼ。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,49,,
Day1,E12,2sp,세포신곡,hdong_st,지고홍동,198,2,1,2.3천,,
Day1,E13,2sp,,,,,,,,,
Day1,E15a,1sp,세포신곡,,,,,,,,
Day1,E15b,1sp,세포신곡,cook__zhffk,박궁E15b,571,23,15,2.1천,1월 디페스타 세포신곡 쁘띠존에 E15b로 참여합니다~~선입금 없이 굿즈 소량 판매로만 진행되며변경사항은 아래 타래로 공지됩니다~ 감사합니다**준비중으로 되어있는건 개인사정에 따라 제외 될 수 있습니다!**,
Day1,E16,2sp,세포신곡,3nG4x,폐연 님이 재게시함,104,나는 포도,66,137,,
Day1,E17,2sp,세포신곡,SalinmaMongoose,1월디페_딱캐,"1,931",14,10,3.9천,"@SalinmaMongoose 님에게 보내는 답글24.1.20(토) 24회 디페스타 인포입니다! 세포신곡 이소이부자 신간, 굿즈 위탁판매 예정입니다 ",
Day1,E18,2sp,"엘소드, 제5인격, 페르소나 5, 솜인형",purple_1line,퍼플,205,2022년 3월 5일,2,1,,
Day1,E19,2sp,프로젝트 세카이,tmpk_in,,175,0,0,0,,
Day1,E2,2sp,마법사의 약속,P0r7r417,E2 | 초상,49,15,7,1.9천,[RT] 1월 디페스타 오즈피가 소장본 수요조사(~0107)폼: https://witchform.com/demand_form.php?idx=89647…샘플: https://posty.pe/t4g344,
Day1,E20,2sp,프로젝트 세카이,hb_rosemary,허브,366,6,9,355,,
Day1,E21,2sp,프로세카,9nong9,포모,14,2023년 1월 26일,놀숲옴,613,슬램덩크 원작 달리는 타래포모@9nong9,
Day1,E22,2sp,"프로젝트세카이, 마법사의 약속",,,,,,,,
Day1,E23a,1sp,프로젝트 세카이,nn_game1,넹(~11/7 통판),"1,926",,MVはあんスタチャンネルでも公開していますので是非チェックしてみてください,더 보기,메인트あんさんぶるスターズ！！Music【公式】@enstars_music·2022년 8월 8일【お知らせ】9日15時に『Eve』が歌う『Trap For You』をライブ楽曲に追加予定,
Day1,E24,2sp,마법사의 약속,Dorongnyongu,E24도롱뇽구,113,1,3,2.5천,"메인트 미틸(ミチル) 최애 오시입니다 도롱뇽구, 도롱, 뇽구 etc 편하게 불러주세요 올캐러로 논컾 위주로 연성합니다 CP는 현자른, 칭호조 등 다 먹습니다 한 CP만 좌우고정해서 파시는 분은 안 맞으실 수도...? 자세한건 타래에 이어서 작성할게요!",
Day1,E4,2sp,마법사의 약속,maho212020,선입금 일요일 정오까지 공책,48,2023.02.14 메인트 자기소개서 갱신,2,1.3천,,
Day1,E5,2sp,아이나나(아이돌리쉬 세븐),1Tylenol_F,,0,0,0,0,,
Day1,E6,2sp,아이돌리쉬세븐(아이나나),letter4M,디페 E6 | z,5,7,2,1.7천,"1디페(20일, 토)에 나올 아이나나 멧조 리버시블 회지 대략적인 수요조사합니다! 기간 : ~1/12 22시리버스 못 보시는 분 절대 xxx 선입금 없이 현장판매만 진행합니다. 꼭 구매하실 분들만 참여해주세요! 19세 미만 구독 불가로 구매시 성인인증이 필요합니다.[1디페] 타마소우+소우타마 회지 샘플 및 수요조사 : 포스타입 포스트출처: cherrymadeleine.postype.com",
Day1,E7,2sp,파이널 판타지14,HUSHL0V3,𝐇 𝟑 𝐑 𝐀,"1,671",𝐩𝐞𝐢𝐧𝐠: https://peing.net/ko/9f260cf2a4f288…,20,79,+:✿｡.ﾟ+:✿｡.ﾟ 𝐌𝐀𝐈𝐍 +:✿｡.ﾟ+:✿｡.ﾟ 알피노 알리제 드림러 l 비팔알림l ©ENEN_c01𝐏𝐫𝐨𝐟𝐢𝐥𝐞: https://alisaie.tistory.com/3,
Day1,E8,2sp,파이널판타지14,,,,,,,,
Day1,F1,2sp,프로젝트 세카이 컬러풀 스테이지! feat. 하츠네 미쿠,magazlly,마가,4,1,6,260,,
Day1,F10,2sp,프세카,rkawkehtnwlq,ml인공수집,334,"2D 잡덕계에요...,,,  그때그때 좋아하는거 올림",1,2,,
Day1,F11,2sp,프로젝트 세카이(프로세카),onprsk,베온,3.9만,15,178,9.4천,,
Day1,F12a,1sp,프로젝트 세카이 컬러풀 스테이지 feat. 하츠네 미쿠,zzinma__,청월,98,2023년 10월 19일,언제 수정될지 모르는 메인트 찐 최종본,969,,
Day1,F12b,1sp,프로젝트 세카이 / 앙상블 스타즈,gimmaritta,,0,0,0,0,,
Day1,F13,2sp,프로젝트 세카이,m_2__o,도묘1디페F13,"6,404",806,318,6.4만, 1디페 현장수령 선입금/통판 선주문을 받습니다! (~ 12/27 23:59)통판의 경우 행사 종료 후 배송대행 이용 예정입니다. 자세한 내용은 폼을 참고해주세요! https://witchform.com/payform/?uuid=RPFKXONGXI… https://witchform.com/payform/?uuid=WYOY3FCYCC… RT 추첨 2분께 아크릴 제외 전 굿즈 보내드립니다 ,
Day1,F14,2sp,,,,,,,,,
Day1,F15,2sp,"할로우나이트, 산나비, 가비지타임, 프로젝트세카이, 하츠네미쿠, 해리포터",Rarfait,파르페,735,21,21,3.1천,#산나비 #SANABI 눈물의 엽서. 64장. 통판 진행. 현장수령 가능......구매자가 없을시-눈물을흘릴게https://witchform.com/deposit_form.php?idx=546776…파르페@Rarfait·1월 4일0:07,
Day1,F17,2sp,프로세카,0_o_o0_0o_o_0,,0,0,0,0,,
Day1,F19,2sp,프로세카,_tiger_ovo,𝑻𝑶𝑹𝑨 (1디페F19),"1,057",1,7,2.7천,2024년 1월 디페스타<F19>부스글회지 선입금 진행중토우아키 신간https://witchform.com/deposit_form.php?idx=546207… (현장수령)https://witchform.com/deposit_form.php?idx=546217… (통판)모브아키 재록+추가신간https://witchform.com/deposit_form.php?idx=549493… (현장수령),
Day1,F20,2sp,프로세카,,,,,,,,
Day1,F21,2sp,프로젝트 세카이,,,,,,,,
Day1,F22,2sp,프로젝트세카이,cherrymeing,체리밍,"3,187",265,1.2천,2.8만, #Prsk_FA,
Day1,F23,2sp,프로세카,ukyangku,,0,0,0,0,,
